epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1074.67,0.82539,0.8909,1.20401,0.89422,0.80285,0.87102,0.6761,0.80541,0.68305,1.16955,0.000476201,0.000476201,0.000476201
2,2151.96,0.89326,1.01314,1.25435,0.8649,0.7666,0.85416,0.64479,0.85436,0.7935,1.20926,0.000914814,0.000914814,0.000914814
3,3216.33,0.94947,1.08213,1.29099,0.85486,0.77386,0.86333,0.65674,0.87069,0.79623,1.22367,0.0013157,0.0013157,0.0013157
4,4224.81,0.95533,1.0946,1.29318,0.85749,0.7727,0.85087,0.63215,0.90347,0.79838,1.2582,0.00125923,0.00125923,0.00125923
5,5189.24,0.95061,1.07897,1.29283,0.83826,0.78358,0.85804,0.64917,0.87795,0.77872,1.21891,0.00120265,0.00120265,0.00120265
6,6153.31,0.93159,1.05624,1.2775,0.86891,0.77145,0.8536,0.64997,0.85004,0.78887,1.20628,0.00114606,0.00114606,0.00114606
7,7112.86,0.90848,1.01756,1.25925,0.89989,0.7496,0.85972,0.65368,0.83294,0.7435,1.18956,0.00108947,0.00108947,0.00108947
8,8072.34,0.89199,0.99312,1.24838,0.85908,0.78819,0.86001,0.65362,0.86793,0.7631,1.20708,0.00103288,0.00103288,0.00103288
9,9026.65,0.88571,0.97023,1.24462,0.87474,0.79097,0.88159,0.67986,0.83938,0.70682,1.19408,0.000976293,0.000976293,0.000976293
10,9979.94,0.87288,0.94996,1.23552,0.86275,0.80756,0.86727,0.67457,0.8174,0.70685,1.18032,0.000919704,0.000919704,0.000919704
11,10931.5,0.85167,0.92444,1.2205,0.86023,0.7842,0.86336,0.67191,0.80137,0.71341,1.15476,0.000863116,0.000863116,0.000863116
12,11888.3,0.85005,0.91944,1.22185,0.86419,0.77952,0.87037,0.68117,0.80288,0.7113,1.15838,0.000806528,0.000806528,0.000806528
13,12866.9,0.82865,0.88226,1.20632,0.85137,0.81719,0.87422,0.67427,0.79851,0.68399,1.14619,0.000749939,0.000749939,0.000749939
14,13843.6,0.81453,0.86296,1.19466,0.83112,0.83275,0.88355,0.68531,0.78469,0.66601,1.14385,0.000693351,0.000693351,0.000693351
15,14817.2,0.81055,0.84621,1.19284,0.86296,0.82198,0.88249,0.70671,0.73917,0.64154,1.10927,0.000636762,0.000636762,0.000636762
16,15789.8,0.68024,0.57751,1.08678,0.85973,0.82677,0.88873,0.69598,0.75385,0.62837,1.11991,0.000580174,0.000580174,0.000580174
17,16762.8,0.64943,0.53138,1.06393,0.92261,0.81289,0.89464,0.70682,0.74791,0.59629,1.11398,0.000523586,0.000523586,0.000523586
18,17731.5,0.62946,0.50805,1.04567,0.89148,0.82122,0.89392,0.70691,0.72639,0.61025,1.09844,0.000466997,0.000466997,0.000466997
19,18696.5,0.60987,0.48002,1.02992,0.91837,0.82208,0.89763,0.71603,0.73203,0.57834,1.10972,0.000410409,0.000410409,0.000410409
20,19658.9,0.58886,0.45364,1.01309,0.93022,0.8396,0.91177,0.72451,0.70368,0.5617,1.08582,0.00035382,0.00035382,0.00035382
21,20623.7,0.57165,0.43479,1.00022,0.90017,0.84361,0.90803,0.73392,0.70055,0.54504,1.08422,0.000297232,0.000297232,0.000297232
22,21588.2,0.55109,0.41902,0.98613,0.89111,0.85059,0.91631,0.73397,0.71014,0.54987,1.08525,0.000240644,0.000240644,0.000240644
23,22554.3,0.54096,0.39912,0.97874,0.90066,0.86512,0.92056,0.73855,0.69507,0.51758,1.07801,0.000184055,0.000184055,0.000184055
24,23517.4,0.52562,0.38881,0.97271,0.90227,0.86706,0.92357,0.74265,0.69166,0.53457,1.08482,0.000127467,0.000127467,0.000127467
25,24482.3,0.51481,0.37458,0.96532,0.91076,0.85541,0.92344,0.74189,0.68262,0.51706,1.07132,7.08784e-05,7.08784e-05,7.08784e-05
