epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1393.13,0.82483,0.8926,1.22696,0.84928,0.78794,0.86415,0.65798,0.85331,0.7435,1.22597,0.000476201,0.000476201,0.000476201
2,2730.71,0.88249,1.00296,1.26826,0.86748,0.77161,0.85526,0.6385,0.88381,0.79321,1.24016,0.000914814,0.000914814,0.000914814
3,4068.62,0.92283,1.0652,1.29268,0.85606,0.7805,0.86178,0.65468,0.8877,0.80052,1.25691,0.0013157,0.0013157,0.0013157
4,5399.06,0.92437,1.06615,1.29432,0.8439,0.76982,0.8619,0.63888,0.94436,0.80471,1.30474,0.00125923,0.00125923,0.00125923
5,6737.33,0.90746,1.02121,1.28167,0.84629,0.77607,0.8641,0.641,0.88886,0.81128,1.27821,0.00120265,0.00120265,0.00120265
6,8075.99,0.8908,1.00319,1.26734,0.86253,0.81028,0.87656,0.67376,0.86136,0.73909,1.2373,0.00114606,0.00114606,0.00114606
7,9413.02,0.86169,0.95419,1.24556,0.88389,0.79399,0.87859,0.66697,0.84623,0.73187,1.22956,0.00108947,0.00108947,0.00108947
8,10762.8,0.84052,0.91877,1.23397,0.88005,0.76043,0.85999,0.66104,0.85697,0.7687,1.22488,0.00103288,0.00103288,0.00103288
9,12096.3,0.82692,0.89083,1.22177,0.88711,0.78892,0.88695,0.7025,0.79024,0.6749,1.16977,0.000976293,0.000976293,0.000976293
10,13438.3,0.80978,0.86758,1.2106,0.87014,0.79131,0.88449,0.69251,0.77934,0.66443,1.16068,0.000919704,0.000919704,0.000919704
11,14794.6,0.79472,0.83757,1.19722,0.89651,0.77655,0.88168,0.69279,0.80738,0.67451,1.17379,0.000863116,0.000863116,0.000863116
12,16125.8,0.78566,0.81847,1.19101,0.88168,0.81015,0.88075,0.70119,0.74409,0.64766,1.12545,0.000806528,0.000806528,0.000806528
13,17472.8,0.77047,0.7969,1.18241,0.90636,0.79386,0.88138,0.6962,0.76474,0.65867,1.15131,0.000749939,0.000749939,0.000749939
14,18794,0.75205,0.76513,1.16758,0.89709,0.82621,0.90318,0.70196,0.77112,0.62981,1.15178,0.000693351,0.000693351,0.000693351
15,20120.5,0.74188,0.745,1.16074,0.89933,0.83,0.90496,0.7259,0.72273,0.57286,1.11541,0.000636762,0.000636762,0.000636762
16,21453.3,0.62524,0.50899,1.05781,0.90354,0.85736,0.90526,0.72769,0.72838,0.59179,1.11619,0.000580174,0.000580174,0.000580174
17,22771,0.59971,0.4697,1.03888,0.92283,0.80866,0.89923,0.71939,0.735,0.58988,1.12478,0.000523586,0.000523586,0.000523586
18,24104.4,0.57298,0.44372,1.017,0.88343,0.83329,0.89676,0.72243,0.70815,0.57845,1.0973,0.000466997,0.000466997,0.000466997
19,25451.8,0.54897,0.41408,1.00017,0.89594,0.82783,0.89294,0.72181,0.69566,0.61069,1.09547,0.000410409,0.000410409,0.000410409
20,26799.3,0.53341,0.39156,0.98626,0.90704,0.81446,0.89494,0.73242,0.70311,0.57345,1.10609,0.00035382,0.00035382,0.00035382
21,28149.9,0.50807,0.37201,0.96909,0.88457,0.8529,0.90692,0.73486,0.69382,0.56779,1.08659,0.000297232,0.000297232,0.000297232
22,29491.8,0.49164,0.35379,0.95904,0.87943,0.84008,0.89825,0.73046,0.70056,0.5852,1.11462,0.000240644,0.000240644,0.000240644
23,30833.1,0.47435,0.33439,0.94586,0.90168,0.84019,0.90483,0.73702,0.68194,0.55268,1.09077,0.000184055,0.000184055,0.000184055
24,32182.1,0.46306,0.32481,0.94143,0.92439,0.82657,0.90353,0.7417,0.6621,0.53992,1.07821,0.000127467,0.000127467,0.000127467
25,33551.3,0.44775,0.30961,0.93088,0.92013,0.83397,0.90971,0.74613,0.65604,0.52348,1.07438,7.08784e-05,7.08784e-05,7.08784e-05
