epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.953199,1.26202,4.81261,1.57388,0,0,0,0,1.68536,4.92825,1.70966,0,0,0
2,2.10262,1.92497,5.11493,2.16684,0,0,0,0,1.72168,4.93521,1.73626,1.17822e-06,1.17822e-06,1.17822e-06
3,3.30581,1.34009,5.23541,1.77129,0,0,0,0,1.71546,4.93332,1.73511,2.33288e-06,2.33288e-06,2.33288e-06
4,4.65302,1.5147,5.18273,1.7966,0,0,0,0,1.75747,4.93829,1.77755,3.46397e-06,3.46397e-06,3.46397e-06
5,5.72618,2.0166,5.11618,2.11637,0,0,0,0,1.77626,4.94373,1.80603,4.5715e-06,4.5715e-06,4.5715e-06
6,7.15623,1.73174,5.00707,2.02484,0,0,0,0,1.79237,4.96049,1.82654,5.65548e-06,5.65548e-06,5.65548e-06
7,8.27634,1.60785,5.01043,1.95219,0,0,0,0,1.78366,4.95509,1.83155,6.71588e-06,6.71588e-06,6.71588e-06
8,9.40508,1.59843,5.09337,2.25294,0,0,0,0,1.78438,4.95902,1.82981,7.75273e-06,7.75273e-06,7.75273e-06
9,10.4025,1.56064,5.1317,1.80224,0,0,0,0,1.79475,4.97505,1.84399,8.76602e-06,8.76602e-06,8.76602e-06
10,11.3812,1.55851,4.99852,1.83091,0,0,0,0,1.78279,4.97362,1.84767,9.75574e-06,9.75574e-06,9.75574e-06
11,12.5161,1.91747,5.12562,2.09904,0,0,0,0,1.78447,4.97425,1.85878,1.07219e-05,1.07219e-05,1.07219e-05
12,13.558,1.62276,5.02543,2.06934,0,0,0,0,1.8073,4.99208,1.87039,1.16645e-05,1.16645e-05,1.16645e-05
13,14.7545,1.15534,4.92276,1.82859,0,0,0,0,1.81435,4.99439,1.87585,1.25835e-05,1.25835e-05,1.25835e-05
14,15.7353,1.24247,4.83316,1.69978,0,0,0,0,1.81367,4.99627,1.87266,1.3479e-05,1.3479e-05,1.3479e-05
15,16.7879,1.39041,5.06676,1.81031,0,0,0,0,1.81903,4.99537,1.87838,1.43509e-05,1.43509e-05,1.43509e-05
16,18.0256,1.79164,5.11903,2.00476,0,0,0,0,1.82288,4.99551,1.8752,1.51993e-05,1.51993e-05,1.51993e-05
17,19.1064,1.54994,5.08071,1.97282,0,0,0,0,1.82266,4.99409,1.87655,1.60241e-05,1.60241e-05,1.60241e-05
18,20.419,1.04493,5.20017,1.38147,0,0,0,0,1.82266,4.99409,1.87655,1.68253e-05,1.68253e-05,1.68253e-05
19,21.3512,1.29644,4.93629,1.72573,0,0,0,0,1.83314,4.99033,1.89436,1.7603e-05,1.7603e-05,1.7603e-05
20,22.331,1.51574,5.01158,1.84282,0,0,0,0,1.83314,4.99033,1.89436,1.83571e-05,1.83571e-05,1.83571e-05
21,23.4265,1.57734,5.13512,1.88686,0,0,0,0,1.86357,4.99367,1.92279,1.90876e-05,1.90876e-05,1.90876e-05
22,24.511,2.1907,5.23379,2.18054,0,0,0,0,1.86357,4.99367,1.92279,1.97946e-05,1.97946e-05,1.97946e-05
23,25.8746,1.18822,4.88033,1.51559,0,0,0,0,1.89346,4.99411,1.95696,2.0478e-05,2.0478e-05,2.0478e-05
24,26.8502,1.80719,5.03835,2.07625,0,0,0,0,1.89346,4.99411,1.95696,2.11379e-05,2.11379e-05,2.11379e-05
25,27.8723,1.17495,4.96883,1.62277,0,0,0,0,1.90756,4.98817,1.98485,2.17741e-05,2.17741e-05,2.17741e-05
26,28.903,1.71688,5.16122,1.87881,0,0,0,0,1.90756,4.98817,1.98485,2.23869e-05,2.23869e-05,2.23869e-05
27,30.1088,1.82612,5.1588,2.06362,0,0,0,0,1.90943,4.99415,2.01416,2.2976e-05,2.2976e-05,2.2976e-05
28,31.1602,1.4375,4.9264,1.80028,0,0,0,0,1.90943,4.99415,2.01416,2.35417e-05,2.35417e-05,2.35417e-05
29,32.1767,2.00078,5.12749,2.24494,0,0,0,0,1.92297,4.99356,2.04635,2.40837e-05,2.40837e-05,2.40837e-05
30,33.2257,1.31338,4.87066,1.67389,0,0,0,0,1.92297,4.99356,2.04635,2.46022e-05,2.46022e-05,2.46022e-05
31,34.4433,1.34102,4.96828,1.81491,0,0,0,0,1.90762,4.986,2.05035,2.50971e-05,2.50971e-05,2.50971e-05
32,35.5159,1.63084,5.14366,1.99725,0,0,0,0,1.90762,4.986,2.05035,2.55685e-05,2.55685e-05,2.55685e-05
33,36.6173,1.61485,4.97877,1.87404,0,0,0,0,1.95736,4.98735,2.08772,2.60163e-05,2.60163e-05,2.60163e-05
34,37.5529,1.61737,4.95247,1.74094,0,0,0,0,1.95736,4.98735,2.08772,2.64405e-05,2.64405e-05,2.64405e-05
35,38.7684,1.68641,5.18295,2.06534,0,0,0,0,1.96111,4.99173,2.10328,2.68412e-05,2.68412e-05,2.68412e-05
36,39.7858,1.95707,5.12464,2.123,0,0,0,0,1.96111,4.99173,2.10328,2.72183e-05,2.72183e-05,2.72183e-05
37,40.9999,1.68827,4.9892,1.8943,0,0,0,0,1.96146,5.0033,2.10557,2.75718e-05,2.75718e-05,2.75718e-05
38,42.156,1.66742,5.05032,2.09227,0,0,0,0,1.96146,5.0033,2.10557,2.79018e-05,2.79018e-05,2.79018e-05
39,43.1559,1.29914,4.86679,1.75908,0,0,0,0,1.95133,5.00306,2.10638,2.82082e-05,2.82082e-05,2.82082e-05
40,44.0231,1.30102,4.76242,1.63024,0,0,0,0,1.95133,5.00306,2.10638,2.84911e-05,2.84911e-05,2.84911e-05
41,45.0105,1.37132,4.86806,1.73047,0,0,0,0,1.94949,4.99737,2.11059,2.87504e-05,2.87504e-05,2.87504e-05
42,46.085,1.37022,4.96851,1.71662,0,0,0,0,1.94949,4.99737,2.11059,2.89861e-05,2.89861e-05,2.89861e-05
