epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.068,1.10999,1.93116,1.37114,0.69426,0.62421,0.65003,0.4198,1.20028,1.55942,1.53824,0.000475806,0.000475806,0.000475806
2,1110.63,1.20116,1.62463,1.43597,0.76424,0.61823,0.69431,0.46546,1.16712,1.32599,1.45374,0.000940357,0.000940357,0.000940357
3,1633.76,1.20132,1.53678,1.43608,0.62804,0.58779,0.63876,0.41917,1.2542,1.52765,1.5507,0.00139312,0.00139312,0.00139312
4,2155.33,1.16009,1.44848,1.40734,0.73981,0.64046,0.72969,0.51493,1.09241,1.15049,1.39202,0.00137595,0.00137595,0.00137595
5,2680.51,1.11085,1.35004,1.37382,0.75577,0.71604,0.77852,0.54862,1.03529,1.01603,1.34717,0.00135826,0.00135826,0.00135826
6,3201.57,1.07081,1.27436,1.34795,0.82081,0.69797,0.79563,0.56729,1.00777,0.98011,1.32023,0.00134058,0.00134058,0.00134058
7,3723.77,1.03186,1.19567,1.31508,0.82363,0.73702,0.80531,0.58252,0.97916,0.95361,1.30778,0.0013229,0.0013229,0.0013229
8,4248.98,1.00707,1.15293,1.3035,0.84148,0.73444,0.81994,0.59885,0.94461,0.90683,1.256,0.00130521,0.00130521,0.00130521
9,4773.47,0.98607,1.11817,1.29036,0.83008,0.74401,0.82753,0.62032,0.89862,0.85425,1.24008,0.00128753,0.00128753,0.00128753
10,5299.69,0.96571,1.07842,1.27179,0.87065,0.77938,0.85956,0.64741,0.89432,0.76693,1.22454,0.00126985,0.00126985,0.00126985
11,5821.33,0.94615,1.04929,1.25938,0.83288,0.76658,0.85511,0.6392,0.89351,0.80023,1.22361,0.00125216,0.00125216,0.00125216
12,6341.76,0.94164,1.03545,1.25378,0.87278,0.77999,0.86334,0.65508,0.87076,0.75705,1.22298,0.00123448,0.00123448,0.00123448
13,6862.39,0.91633,0.97596,1.23524,0.87907,0.78631,0.86989,0.66615,0.86942,0.7211,1.20705,0.00121679,0.00121679,0.00121679
14,7380.61,0.90549,0.95433,1.22654,0.86346,0.81561,0.87311,0.66723,0.83512,0.71068,1.19106,0.00119911,0.00119911,0.00119911
15,7898.62,0.89277,0.94412,1.22237,0.87466,0.81322,0.87715,0.67401,0.81455,0.68463,1.16684,0.00118143,0.00118143,0.00118143
16,8417.62,0.87414,0.91597,1.21038,0.88617,0.78827,0.88229,0.68623,0.80066,0.67672,1.15944,0.00116374,0.00116374,0.00116374
17,8935.41,0.86629,0.9004,1.19959,0.90152,0.78509,0.88305,0.68937,0.80634,0.67396,1.16233,0.00114606,0.00114606,0.00114606
18,9454.87,0.85708,0.87778,1.19186,0.89696,0.80204,0.88326,0.6813,0.82002,0.6628,1.1656,0.00112837,0.00112837,0.00112837
19,9973.72,0.84789,0.8571,1.18449,0.90571,0.79484,0.88004,0.68928,0.79287,0.64907,1.14436,0.00111069,0.00111069,0.00111069
20,10489.9,0.82775,0.83537,1.17239,0.87487,0.8247,0.89419,0.70292,0.79013,0.63547,1.13831,0.00109301,0.00109301,0.00109301
21,11009.7,0.83697,0.84397,1.1753,0.9407,0.80275,0.89719,0.7029,0.78255,0.64161,1.12969,0.00107532,0.00107532,0.00107532
22,11527.2,0.83413,0.82727,1.17371,0.90854,0.80006,0.90369,0.70306,0.77574,0.61784,1.131,0.00105764,0.00105764,0.00105764
23,12043.7,0.8116,0.80519,1.16143,0.88246,0.81607,0.88653,0.69176,0.78247,0.64732,1.1411,0.00103995,0.00103995,0.00103995
24,12557.9,0.80679,0.79345,1.15994,0.89396,0.83605,0.9005,0.7039,0.78197,0.6224,1.12788,0.00102227,0.00102227,0.00102227
25,13073.1,0.80097,0.78074,1.14973,0.8916,0.82935,0.89872,0.71008,0.78834,0.60637,1.13957,0.00100459,0.00100459,0.00100459
26,13593,0.78856,0.7704,1.14966,0.9259,0.80097,0.8995,0.70625,0.77486,0.61807,1.14016,0.000986903,0.000986903,0.000986903
